Augusto Solari 	6	187	0	1	0	0	1	0	0% 	2	0	0% 	0	0	3	7	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	84% 	0	1	0	0	0	0
Aurélien Tchouaméni 	12	900	0	2	0	0	14	2	14% 	6	0	0% 	0	2	11	16	23	12	0	0	1	0	0	0	0	0	0	0	2	0	9	9	93% 	0	1	0	0	0	0
Awer Mabil 	5	165	0	0	0	0	3	1	33% 	9	1	11% 	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	73% 	2	1	0	0	0	0
Axel Werner 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Axel Witsel 	14	1067	0	0	0	0	6	0	0% 	2	0	0% 	0	1	7	9	12	9	1	0	2	0	0	0	0	0	0	0	6	0	1	3	94% 	0	1	0	0	0	0
Bebé 	4	60	0	0	0	0	4	0	0% 	16	3	19% 	1	2	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	84% 	2	5	1	0	0	0
Benjamin Lecomte 	10	906	0	0	29	14	0	0	0% 	0	0	0% 	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	64% 	0	20	0	0	0	0
Bernardo Espinosa 	8	495	0	1	0	0	3	2	67% 	1	0	0% 	0	0	5	5	5	1	0	0	2	0	1	0	0	0	0	0	3	1	2	1	88% 	0	1	0	0	0	0
Beñat Turrientes 	6	106	0	0	0	0	0	0	0% 	4	1	25% 	0	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	90% 	3	1	0	0	0	0
Borja Iglesias 	13	957	8	2	0	0	30	14	47% 	1	0	0% 	0	6	28	24	0	5	0	0	0	1	0	0	3	3	0	0	1	0	3	9	73% 	0	0	0	0	0	0
Borja Mayoral 	14	1106	1	0	0	0	17	5	29% 	9	2	22% 	1	9	22	10	0	1	0	0	2	0	0	1	1	0	0	0	0	0	8	6	76% 	0	0	0	0	0	0
Braian Cufré 	3	194	0	0	0	0	3	0	0% 	1	0	0% 	0	0	2	3	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	86% 	0	1	0	0	0	0
Brais Méndez 	14	1121	6	2	0	0	30	12	40% 	57	18	32% 	0	14	21	32	7	18	0	0	4	0	0	0	0	0	0	0	1	0	7	18	84% 	34	12	3	5	1	1
Brian Ocampo 	10	561	0	0	0	0	5	0	0% 	12	5	42% 	0	3	13	19	1	7	0	0	1	0	0	0	0	0	0	0	0	0	6	5	77% 	1	0	0	0	0	0
Brian Oliván 	14	1209	0	3	0	0	9	2	22% 	70	19	27% 	0	14	11	15	15	18	0	0	3	0	0	0	0	0	0	0	2	0	2	18	71% 	1	3	0	1	0	0
Carles Aleñá 	13	1026	2	2	0	0	13	5	38% 	13	2	15% 	0	5	28	24	2	8	0	0	6	0	0	0	0	0	0	0	0	0	11	7	81% 	0	1	0	0	0	0
Carles Pérez 	14	600	0	2	0	0	12	3	25% 	6	0	0% 	0	6	10	11	1	8	0	0	1	0	0	0	0	0	0	0	2	0	5	7	90% 	2	0	0	0	0	0
Carlo Adriano 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Carlos Casemiro 	1	8	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88% 	0	0	0	0	0	0
Carlos Clerc 	10	862	0	1	0	0	5	3	60% 	26	3	12% 	0	7	7	8	6	15	0	0	1	0	0	0	0	0	0	0	3	0	7	3	77% 	0	5	0	0	0	0
Carlos Dominguez 	1	-3	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50% 	0	0	0	0	0	0
Carlos Fernández 	7	232	0	0	0	0	7	3	43% 	0	0	0% 	1	2	6	7	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	5	70% 	0	0	0	0	0	0
Carlos Rojas 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Carlos Soler 	3	242	1	0	0	0	5	2	40% 	16	3	19% 	0	1	4	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	4	84% 	10	7	0	3	1	0
Cenk Özkacar 	3	239	0	0	0	0	0	0	0% 	0	0	0% 	0	0	3	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88% 	0	0	0	0	0	0
Charlie Pérez 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Chimy Ávila 	13	838	6	1	0	0	30	16	53% 	43	12	28% 	0	7	23	8	5	3	0	0	3	1	0	0	3	2	0	0	0	0	10	13	60% 	6	4	0	0	0	0
Choco Lozano 	12	756	0	0	0	0	13	3	23% 	3	1	33% 	0	9	16	21	2	1	0	0	2	0	0	0	0	0	0	0	1	0	9	6	68% 	0	0	0	0	0	0
Christian Mosquera	2	55	0	0	0	0	1	0	0% 	0	0	0% 	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94% 	0	0	0	0	0	0
Christian Stuani 	10	419	4	0	0	0	13	8	62% 	3	1	33% 	0	1	7	15	1	1	0	0	2	0	0	0	4	3	0	0	0	0	0	4	79% 	1	0	0	0	0	0
Chumi 	7	388	0	0	0	0	1	0	0% 	2	1	50% 	0	0	1	2	6	2	0	0	1	0	0	0	0	0	0	0	1	0	3	0	88% 	0	2	0	0	0	0
Claudio Bravo 	2	180	0	0	7	1	0	0	0% 	0	0	0% 	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	44% 	0	6	0	0	0	0
Clément Grenier 	10	402	0	0	0	0	2	1	50% 	23	3	13% 	0	4	4	14	5	4	0	0	6	0	0	0	0	0	0	0	0	0	2	6	81% 	10	8	1	0	0	0
Cristian Portu 	11	391	0	0	0	0	6	3	50% 	21	5	24% 	0	3	6	6	2	4	0	0	2	1	0	0	0	0	0	0	0	0	2	4	79% 	1	2	1	0	0	0
Cristian Rivero 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
